,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,idx,month_init,time_finish,time_start,water_period,year
48,223.8042449951172,17.10488468405033,7.871316909790039,13.654779127886332,1308.1643113751459,6,48,4,2000-07-16,2000-04-08,HW,2000
49,218.72747802734375,24.709793433450137,7.940486431121826,14.493446604978846,1326.5741957042037,6,49,7,2000-10-16,2000-07-16,F,2000
50,233.33509826660156,184.78572523367484,10.839653015136719,54.69632573166754,902.8491141698239,6,50,10,2001-01-07,2000-10-16,LW,2000
51,232.16357421875,86.6593942757707,8.784039497375488,58.235944692463235,1134.295313519154,6,51,1,2001-03-24,2001-01-07,R,2001
52,228.18943786621094,24.950231855790555,7.887654781341553,20.57905879934792,1367.0437435109338,6,52,3,2001-06-16,2001-03-24,HW,2001
53,215.21092224121094,19.340951655754626,7.910932540893555,10.030000402309721,1395.4928578642912,6,53,6,2001-09-16,2001-06-16,F,2001
54,232.54891967773438,172.9158103473386,10.839653015136719,58.28226767045798,812.1861538114164,6,54,9,2001-12-24,2001-09-16,LW,2001
55,235.0374755859375,55.332609976506696,8.50539779663086,29.630173449919006,1156.0449933971743,6,55,12,2002-04-09,2001-12-24,R,2001
56,216.28944396972656,20.549561208566214,7.890129566192627,12.988204241766487,1357.7971873630115,6,56,4,2002-07-09,2002-04-09,HW,2002
57,218.06881713867188,26.7536901760844,8.116841316223145,15.692749933346036,1398.300325030739,6,57,7,2002-09-23,2002-07-09,F,2002
58,234.0359649658203,161.60280280842264,10.839653015136719,65.19973498756657,899.2909782520265,6,58,9,2002-12-24,2002-09-23,LW,2002
59,233.58740234375,106.53181397594017,9.203275680541992,67.70280903777831,936.6414423302443,6,59,12,2003-04-09,2002-12-24,R,2002
60,226.0424346923828,32.65328054953229,7.894221305847168,21.925103723330448,1320.4229579830414,6,60,4,2003-07-09,2003-04-09,HW,2003
61,228.18182373046875,23.056590133663523,8.09087085723877,17.289416070101236,1342.4247985307736,6,61,7,2003-09-23,2003-07-09,F,2003
62,235.16513061523438,176.99009080112776,10.828718185424805,63.959917995316054,1006.5939725160287,6,62,9,2003-12-16,2003-09-23,LW,2003
63,235.435546875,163.3542731362934,8.868292808532715,69.04686826344708,1014.063470306324,6,63,12,2004-03-16,2003-12-16,R,2003
64,232.0974578857422,39.057069985708694,8.056079864501953,26.236009825359268,1362.4633823803026,6,64,3,2004-06-16,2004-03-16,HW,2004
65,232.0791473388672,39.54264805494731,8.241060256958008,17.68869663215676,1344.387070473793,6,65,6,2004-09-16,2004-06-16,F,2004
66,233.75453186035156,178.50024611292463,10.605066299438477,49.86272211125438,937.833274427502,6,66,9,2004-12-16,2004-09-16,LW,2004
67,234.29122924804688,161.74315852028022,8.288423538208008,65.55954871208148,993.8951880683246,6,67,12,2005-03-16,2004-12-16,R,2004
68,232.69281005859375,44.4539171661687,7.932438373565674,28.148291897117954,1458.8827290876723,6,68,3,2005-06-08,2005-03-16,HW,2005
69,217.8419952392578,22.826761424922324,7.932968616485596,11.631618499278671,1459.3398103156192,6,69,6,2005-08-23,2005-06-08,F,2005
70,233.88914489746094,149.22042591912833,10.828718185424805,67.56147314606083,840.001407327343,6,70,8,2005-11-23,2005-08-23,LW,2005
71,228.5950164794922,40.975093651166695,8.094075202941895,19.891280827445357,1265.5818701104417,6,71,11,2006-03-09,2005-11-23,R,2005
72,232.54542541503906,25.341481579739067,7.900279521942139,20.97898148260263,1431.3216756729416,6,72,3,2006-06-16,2006-03-09,HW,2006
73,217.61825561523438,23.632488223077143,8.045127868652344,9.595307504939509,1525.1863525719953,6,73,6,2006-09-16,2006-06-16,F,2006
74,235.14060974121094,183.76212333890675,8.767578125,55.45311301742732,790.9405580131615,6,74,9,2006-12-24,2006-09-16,LW,2006
75,231.75466918945312,60.065311530733446,8.244890213012695,27.6685554347546,1252.3337068014102,6,75,12,2007-04-09,2006-12-24,R,2006
76,222.45623779296875,24.546124793342578,7.912693023681641,16.647023153972526,1458.9276931970849,6,76,4,2007-07-09,2007-04-09,HW,2007
77,229.0827178955078,30.094583144504202,8.048460006713867,16.577484448529578,1431.244499561231,6,77,7,2007-09-23,2007-07-09,F,2007
78,229.03269958496094,107.11740263728997,10.839653015136719,53.951374010524546,951.3347028728538,6,78,9,2007-12-24,2007-09-23,LW,2007
79,228.6107177734375,42.8958957664711,8.030305862426758,20.528865646381057,1424.7736218142916,6,79,12,2008-04-08,2007-12-24,R,2007
80,215.13650512695312,19.610692627396556,7.920907974243164,11.917000702059148,1544.351923470245,6,80,4,2008-07-09,2008-04-08,HW,2008
81,218.30062866210938,27.41978597298247,10.708502769470215,10.521386143719335,1473.9615802765575,6,81,7,2008-09-23,2008-07-09,F,2008
82,234.6470184326172,174.18851457806016,10.839653015136719,56.68583354074914,895.1150323841769,6,82,9,2008-12-16,2008-09-23,LW,2008
83,235.12559509277344,100.3768102594413,8.185346603393555,59.06782549416236,1143.3131323365897,6,83,12,2009-03-16,2008-12-16,R,2008
84,230.37767028808594,25.912715056876497,7.902099609375,16.468539753394616,1533.0528615882608,6,84,3,2009-06-16,2009-03-16,HW,2009
85,215.13650512695312,19.618873856722328,7.940846920013428,6.579395997259359,1632.2603800863171,6,85,6,2009-09-16,2009-06-16,F,2009
86,231.5045166015625,90.69269946593654,10.828718185424805,59.84941164494683,940.3598364668379,6,86,9,2009-12-16,2009-09-16,LW,2009
87,231.9976348876953,64.56680111048527,10.726144790649414,43.85055645020105,1107.374412342253,6,87,12,2010-03-16,2009-12-16,R,2009
88,226.972900390625,24.490891810571117,7.849280834197998,15.499034351203871,1405.6454217937962,6,88,3,2010-06-16,2010-03-16,HW,2010
89,226.06837463378906,27.02832174155575,7.918811321258545,11.888457676981096,1428.3716402360426,6,89,6,2010-09-16,2010-06-16,F,2010
90,233.88414001464844,166.20242919216932,8.173882484436035,64.18444140420185,704.6098963863473,6,90,9,2010-12-24,2010-09-16,LW,2010
