,mean_loc_chirps,mean_reg_chirps,time_finish,time_start,water_period
35,157.18773842962142,273.60086692580313,1992-12-16,1992-09-16,LW
36,768.1947781437109,678.8505854102701,1993-03-16,1992-12-16,R
37,739.5338352314266,814.4931757038928,1993-06-16,1993-03-16,HW
38,213.64504077625386,387.16166782525016,1993-09-16,1993-06-16,F
39,318.36302203342274,399.2769752453438,1993-12-24,1993-09-16,LW
40,1400.0544007768337,1031.4411667263762,1994-04-09,1993-12-24,R
41,590.4538658707265,844.4759456875131,1994-07-09,1994-04-09,HW
42,160.82512658443375,237.10933025572692,1994-09-23,1994-07-09,F
43,294.6132804103089,315.0133187735536,1994-12-24,1994-09-23,LW
44,857.2662097366281,716.9184373188779,1995-04-09,1994-12-24,R
45,958.5156271524949,818.1093492980041,1995-07-01,1995-04-09,HW
46,83.88397142844458,174.58916644402032,1995-08-31,1995-07-01,F
47,119.5077321828921,258.491109646736,1995-11-23,1995-08-31,LW
48,967.6149329568477,908.0613653606239,1996-03-08,1995-11-23,R
49,1056.6831143764666,1065.8579878488458,1996-06-16,1996-03-08,HW
50,277.66966442083094,401.6719111423087,1996-09-16,1996-06-16,F
51,204.28563349637506,348.45944005956073,1996-12-16,1996-09-16,LW
52,788.6932351792834,752.1404015945834,1997-03-16,1996-12-16,R
53,493.7732917301546,701.3494785283574,1997-06-16,1997-03-16,HW
54,117.78563411693105,215.19789231613896,1997-09-16,1997-06-16,F
55,145.7472069694762,193.59813365172678,1997-12-24,1997-09-16,LW
56,699.8664316635244,731.4375711826881,1998-04-09,1997-12-24,R
57,575.5653054145248,728.3093256179806,1998-07-01,1998-04-09,HW
58,64.99376943474779,217.68589238032422,1998-08-31,1998-07-01,F
59,258.6771189532357,333.70993286452915,1998-11-30,1998-08-31,LW
60,1243.538963233806,1142.677403579588,1999-04-01,1998-11-30,R
61,809.9102963011476,968.8207231605918,1999-07-09,1999-04-01,HW
62,120.07997233556895,307.90846508906316,1999-09-23,1999-07-09,F
63,330.1710292908507,401.4419832370314,1999-12-24,1999-09-23,LW
64,1408.6855164700837,1090.2571501723946,2000-04-08,1999-12-24,R
65,752.8653235658329,972.7781268607931,2000-07-16,2000-04-08,HW
66,184.2933853624789,334.87697150293604,2000-10-16,2000-07-16,F
67,253.02474805351224,307.2231550185768,2001-01-07,2000-10-16,LW
68,915.4792173367098,694.7736838662762,2001-03-24,2001-01-07,R
69,771.4383192194815,907.1019023544634,2001-06-16,2001-03-24,HW
70,147.1388829977295,326.7629398325527,2001-09-16,2001-06-16,F
71,155.70155183409796,267.6357784410284,2001-12-24,2001-09-16,LW
72,1131.1645362352979,957.8500763776681,2002-04-09,2001-12-24,R
73,614.7705005039974,794.8582504104911,2002-07-09,2002-04-09,HW
74,79.9646051928949,181.74904928827868,2002-09-23,2002-07-09,F
75,260.1756921779919,352.0778110963979,2002-12-24,2002-09-23,LW
76,986.0674877253589,691.298526691926,2003-04-09,2002-12-24,R
77,775.1054699590335,870.742560881045,2003-07-09,2003-04-09,HW
78,210.21732680102102,325.62632732021774,2003-09-23,2003-07-09,F
79,159.5601569587017,247.83555853146802,2003-12-16,2003-09-23,LW
80,881.0208292750905,665.261006245529,2004-03-16,2003-12-16,R
81,922.7212017674135,974.0737469129082,2004-06-16,2004-03-16,HW
82,245.8714674453488,383.82185864520017,2004-09-16,2004-06-16,F
83,105.89177782005845,241.56849207292876,2004-12-16,2004-09-16,LW
84,923.8929091121621,806.8873677580877,2005-03-16,2004-12-16,R
85,996.8275750649216,926.2884661239005,2005-06-08,2005-03-16,HW
86,215.6634752439808,343.85788939744094,2005-08-23,2005-06-08,F
87,101.65854497614686,231.1580618956449,2005-11-23,2005-08-23,LW
88,1056.8656086593694,909.1101454097429,2006-03-09,2005-11-23,R
89,1496.7188533982865,1160.7908198602383,2006-06-16,2006-03-09,HW
90,206.40753520892767,361.9825331001019,2006-09-16,2006-06-16,F
91,311.93476676852504,353.3243049754591,2006-12-24,2006-09-16,LW
92,1007.7934198415115,848.3135948745214,2007-04-09,2006-12-24,R
93,747.7847865524628,888.5887073106602,2007-07-09,2007-04-09,HW
94,145.76275413791686,326.1575306879827,2007-09-23,2007-07-09,F
95,264.29631742856424,387.90319564923664,2007-12-24,2007-09-23,LW
96,1408.526195207568,943.07915490951,2008-04-08,2007-12-24,R
97,959.2812947012486,920.9185882520167,2008-07-09,2008-04-08,HW
98,56.52905240195058,318.0045030054036,2008-09-23,2008-07-09,F
99,336.6300131724098,389.3577560599013,2008-12-16,2008-09-23,LW
100,1033.7160993394732,982.4917161086387,2009-03-16,2008-12-16,R
101,1251.355535281055,1001.4935254255578,2009-06-16,2009-03-16,HW
102,126.41115471838508,260.42000344287715,2009-09-16,2009-06-16,F
103,72.69812671329046,196.28444621011604,2009-12-16,2009-09-16,LW
104,487.87700370881913,578.8248099256149,2010-03-16,2009-12-16,R
105,909.3201713418204,1057.2442610111673,2010-06-16,2010-03-16,HW
106,334.15072760054323,449.9773941888524,2010-09-16,2010-06-16,F
107,313.28718003208587,459.929997845847,2010-12-24,2010-09-16,LW
108,1443.3208420506544,1254.9297155861354,2011-04-09,2010-12-24,R
109,584.9972190674863,775.8191213841695,2011-07-01,2011-04-09,HW
110,133.02675676662994,206.96905501942499,2011-08-31,2011-07-01,F
111,233.9299427120554,315.09671641710753,2011-11-23,2011-08-31,LW
112,932.636044719835,862.3722727094713,2012-03-08,2011-11-23,R
113,756.2192278641669,902.2750245152786,2012-06-16,2012-03-08,HW
114,268.8564112851343,365.19628659745194,2012-09-16,2012-06-16,F
115,227.94383480561325,354.6429969106802,2012-12-16,2012-09-16,LW
116,1068.9440150114297,801.4455330352461,2013-03-16,2012-12-16,R
117,1056.872762350603,952.761467370359,2013-06-16,2013-03-16,HW
118,369.45637502634736,489.2190944895759,2013-09-16,2013-06-16,F
119,242.21351104081637,354.52467374491727,2013-12-16,2013-09-16,LW
120,1004.072220512905,709.540357356818,2014-03-16,2013-12-16,R
121,718.3489020818402,923.8783465214085,2014-06-16,2014-03-16,HW
122,298.297335592742,413.5584125155807,2014-09-16,2014-06-16,F
123,218.21076679845265,343.82286389900656,2014-12-24,2014-09-16,LW
124,992.5624840956474,892.3354822507372,2015-04-09,2014-12-24,R
125,583.9417772668761,702.5127983672301,2015-07-09,2015-04-09,HW
126,85.39304520846953,192.07809689794993,2015-09-23,2015-07-09,F
127,99.18727809991923,171.63502904709927,2015-12-24,2015-09-23,LW
128,795.9454167405296,759.6489208112383,2016-04-08,2015-12-24,R
129,651.6895205697627,729.044450682513,2016-07-09,2016-04-08,HW
130,136.58462704371044,294.4203423832649,2016-09-23,2016-07-09,F
131,437.5913603089676,398.72215697780246,2016-12-16,2016-09-23,LW
132,1113.3884326778277,1039.9158119066378,2017-03-16,2016-12-16,R
133,613.5850078825523,778.5444454054918,2017-06-08,2017-03-16,HW
134,197.2201486763723,331.227630138799,2017-08-23,2017-06-08,F
135,100.01569840844321,310.83551593705596,2017-11-30,2017-08-23,LW
136,936.8978517736986,890.8988422536515,2018-04-01,2017-11-30,R
137,886.8599647565603,943.7788258990759,2018-07-09,2018-04-01,HW
138,198.1408222608496,311.10125681657286,2018-09-23,2018-07-09,F
139,355.98156476436884,348.03514897329717,2018-12-24,2018-09-23,LW
140,998.4165081440565,787.443216190107,2019-04-09,2018-12-24,R
141,669.4696067600584,855.8445446360697,2019-07-09,2019-04-09,HW
142,80.08234155017324,264.00984742565004,2019-09-23,2019-07-09,F
143,397.41710120630745,461.28396332487165,2019-12-24,2019-09-23,LW
144,933.026617406254,697.8312620403972,2020-04-08,2019-12-24,R
145,808.0849185867289,902.6851040829766,2020-07-09,2020-04-08,HW
146,104.30575299297843,192.011989319226,2020-09-23,2020-07-09,F
147,300.1004569539237,349.79757774101137,2020-12-16,2020-09-23,LW
148,992.8994518998087,923.2277922167831,2021-03-16,2020-12-16,R
149,615.4400846498276,851.329366599871,2021-06-16,2021-03-16,HW
150,282.9943516778372,439.41467614918685,2021-09-16,2021-06-16,F
151,453.2952012206303,458.00915787636364,2021-12-16,2021-09-16,LW
