,water_period,time_start,time_finish,mean_discharge
109,HW,2012-03-08 18:00:00,2012-06-16 00:00:00,242333.8637
110,F,2012-06-16 00:00:00,2012-09-16 00:00:00,208690.6603225806
111,LW,2012-09-16 00:00:00,2012-12-16 06:00:00,96327.67116304347
112,R,2012-12-16 06:00:00,2013-03-16 18:00:00,147393.59273333332
113,HW,2013-03-16 18:00:00,2013-06-16 00:00:00,234353.85217391304
114,F,2013-06-16 00:00:00,2013-09-16 00:00:00,211249.61688172043
115,LW,2013-09-16 00:00:00,2013-12-16 06:00:00,130402.11397826087
116,R,2013-12-16 06:00:00,2014-03-16 18:00:00,168807.74711111106
117,HW,2014-03-16 18:00:00,2014-06-16 00:00:00,242066.91836956525
118,F,2014-06-16 00:00:00,2014-09-16 00:00:00,226714.9174193548
119,LW,2014-09-16 00:00:00,2014-12-24 00:00:00,131919.33987999998
120,R,2014-12-24 00:00:00,2015-04-09 00:00:00,173131.46252336446
121,HW,2015-04-09 00:00:00,2015-07-09 06:00:00,240161.88521739133
122,F,2015-07-09 06:00:00,2015-09-23 18:00:00,214542.5642105263
123,LW,2015-09-23 18:00:00,2015-12-24 06:00:00,102400.74097826087
124,R,2015-12-24 06:00:00,2016-04-08 18:00:00,124081.82867924529
125,HW,2016-04-08 18:00:00,2016-07-09 06:00:00,193775.9915217391
126,F,2016-07-09 06:00:00,2016-09-23 18:00:00,170418.69815789472
127,LW,2016-09-23 18:00:00,2016-12-16 06:00:00,98678.07095238095
128,R,2016-12-16 06:00:00,2017-03-16 18:00:00,156427.25088888887
129,HW,2017-03-16 18:00:00,2017-06-08 06:00:00,232803.96285714288
130,F,2017-06-08 06:00:00,2017-08-23 18:00:00,212104.03763157895
131,LW,2017-08-23 18:00:00,2017-11-30 18:00:00,111921.66828282828
132,R,2017-11-30 18:00:00,2018-04-01 06:00:00,151903.33204918032
133,HW,2018-04-01 06:00:00,2018-07-09 06:00:00,216561.94636363638
134,F,2018-07-09 06:00:00,2018-09-23 18:00:00,192607.39868421052
135,LW,2018-09-23 18:00:00,2018-12-24 00:00:00,111887.20304347824
136,R,2018-12-24 00:00:00,2019-04-09 00:00:00,186162.61560747665
137,HW,2019-04-09 00:00:00,2019-07-09 06:00:00,237289.61054347828
138,F,2019-07-09 06:00:00,2019-09-23 18:00:00,203887.67473684213
139,LW,2019-09-23 18:00:00,2019-12-24 06:00:00,118425.07945652172
140,R,2019-12-24 06:00:00,2020-04-08 18:00:00,177562.87801886792
141,HW,2020-04-08 18:00:00,2020-07-09 06:00:00,225245.25999999995
142,F,2020-07-09 06:00:00,2020-09-23 18:00:00,187187.29960526314
143,LW,2020-09-23 18:00:00,2020-12-16 06:00:00,94345.15273809525
144,R,2020-12-16 06:00:00,2021-03-16 18:00:00,166110.93611111114
145,HW,2021-03-16 18:00:00,2021-06-16 00:00:00,243548.7559782609
146,F,2021-06-16 00:00:00,2021-09-16 00:00:00,225755.56483870972
147,LW,2021-09-16 00:00:00,2021-12-16 06:00:00,133151.3412826087
148,R,2021-12-16 06:00:00,2022-03-16 18:00:00,183340.71655555555
149,HW,2022-03-16 18:00:00,2022-06-16 00:00:00,244117.01184782613
150,F,2022-06-16 00:00:00,2022-09-16 00:00:00,220799.00795698923
151,LW,2022-09-16 00:00:00,2022-12-16 06:00:00,111867.99929347826
152,R,2022-12-16 06:00:00,2023-03-16 18:00:00,147621.67884444442
153,HW,2023-03-16 18:00:00,2023-06-16 00:00:00,223591.46097826087
154,F,2023-06-16 00:00:00,2023-09-16 00:00:00,192864.37516129029
155,LW,2023-09-16 00:00:00,2023-12-16 12:00:00,74637.51647826086
156,R,2023-12-16 12:00:00,2024-03-16 12:00:00,127509.15941758241
157,HW,2024-03-16 12:00:00,2024-06-08 06:00:00,190876.06
158,F,2024-06-08 06:00:00,2024-08-23 18:00:00,182822.23118421054
159,LW,2024-08-23 18:00:00,2024-11-23 00:00:00,74561.51482608696
160,R,2024-11-23 00:00:00,2025-03-09 00:00:00,124708.11024299066
161,HW,2025-03-09 00:00:00,2025-06-09 00:00:00,223941.29215053757
162,F,2025-06-09 00:00:00,2025-09-09 00:00:00,231944.08471698113
