,Model,Group,Feature,r2,mae,mse,mape,exp_var,r2_std,mae_std,mse_std,mape_std,exp_var_std
17,polynomial2,multi_band,location,0.6367418771366516,22.04034570128622,1363.463688523362,0.5195444321665063,0.6466417488244712,0.16026853587164075,4.60823263422316,735.0643790368478,0.08539568934173469,0.1598791884568899
18,polynomial2,multi_band,period,0.6545762898704524,20.58267040098479,1252.6788243318674,0.4631472528125803,0.6627109199303607,0.16276973493385744,4.838403879077853,654.375636131867,0.09041693824441235,0.1626735331779873
19,polynomial2,multi_band,period_location,0.610649053470456,22.27034141169128,1375.7805577023737,0.5399490295485186,0.6187693631067976,0.22637477034641487,4.512008170273083,666.1488947646636,0.09148925847184831,0.22565266238245002
20,polynomial3,single_band,nir,0.6666481425125492,21.45896422335459,1207.2759801506038,0.6260026861326617,0.6748906973187571,0.15082744002435997,4.098694061115544,608.167893894022,0.17991704282959836,0.14900682737907367
21,polynomial3,single_band,red,0.38989474054724826,34.99921468143109,2978.059420812525,0.8676600343179928,0.35331680797447995,0.5708479289989442,4.848678542204991,976.0165805231596,0.28084339811082665,0.4432603887984305
22,polynomial3,single_band,nir_red_ratio,6177.502273626915,255.72810756291452,6942629.561799169,93.87128376125503,5974.513715406854,21568.67143737136,418.3000070175652,14400060.029464753,180.44640078090623,20859.323085002536
23,polynomial3,single_band,red_nir_ratio,22.700223060910307,44.38303263221412,27462.900425350184,2.295800882141694,22.321303426614392,90.67661160314388,28.82029143276083,101036.6074888402,1.7577720345382812,89.02283290154993
24,polynomial3,multi_band,nir_red,0.6529006267497356,21.340580268643148,1337.1514269963932,0.44135350297076303,0.661350346047393,0.14781897756160242,4.838771849612121,776.7979489031677,0.06658687435491707,0.14747409215800716
25,polynomial3,multi_band,nir_red_green,0.6267713052246396,22.256557641807635,1410.1139097111795,0.48267437781426736,0.6373572980185475,0.16335758729300798,5.088299946911433,739.4044930073735,0.08357582442568812,0.15841504888148655
26,polynomial3,multi_band,all_bands,0.5738907051961981,23.837707847724822,1606.2666761380965,0.52545136976407,0.5850132983152986,0.28457323867426826,5.050902926238576,776.7719853944674,0.09415435314001917,0.2799326002720283
27,polynomial3,multi_band,location,0.46469931205995796,28.717260301971585,2352.984524887767,0.6741324764345293,0.46943372241861736,0.4054316846046333,5.458961429832022,1084.310528662468,0.11503957058192454,0.3954305173568111
28,polynomial3,multi_band,period,0.6931043726120768,24.945501147918783,1792.5601701805058,0.5633959731869049,0.6865207274003611,0.7226166698877948,5.38220452828955,635.4443467377737,0.16582574222743846,0.672927953728761
29,polynomial3,multi_band,period_location,0.7798822495056239,34.45068725309905,3531.767809855686,0.8738508335332382,0.7655142708578984,1.1729018273128333,8.57866888354723,1788.6486682822317,0.2760204823939942,1.1456762718365805
