,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_start,year,water_period,mean_precipitation,mean_discharge,mean_u__wind,mean_v__wind,time_finish
12,1328.735827622836,33.52744446240044,284.38006591796875,5.663523674011231,22.346080762074276,2003-03-14,2003,HW,1223.09337278394,193666.54681003583,-0.6781324318375717,-0.2046312024574946,2003-08-12
13,967.3205669412216,155.9479105136505,306.0490417480469,6.15207052230835,79.08968175520774,2003-09-18,2003,LW,381.1902348026637,126322.32968953854,-0.6314027931847407,-0.1768099838232986,2004-01-12
14,1359.8534839363283,26.043217514596908,282.4901123046875,5.556675434112549,15.881660096497653,2004-03-08,2004,HW,1188.846486384993,195550.16219969277,-0.7217648982837311,-0.1371057051296694,2004-07-19
15,1349.208896657897,38.14936124865819,296.3232727050781,5.868872165679932,18.546965544681157,2004-07-19,2004,F,187.28976227390763,171769.7223147605,-0.5521930130531136,-0.1898989630778872,2004-09-10
16,945.6161097062884,180.37839703551552,306.0490417480469,6.049108028411865,62.34021853247312,2004-09-10,2004,LW,375.7233353366104,124781.3575430352,-0.5157109524278064,-0.0628773387822185,2005-01-08
17,1463.251211453241,30.033544791818965,282.4901123046875,5.597198486328125,21.216908613256813,2005-02-24,2005,HW,1372.9521321806217,180999.04104059143,-0.795457124862234,-0.200423727167166,2005-07-13
18,1339.4290810268717,29.919779565665216,304.2342529296875,6.251514434814453,13.208423143609624,2005-07-13,2005,F,101.34834305535745,171839.26405405405,-0.5462557015006986,-0.541760747334598,2005-08-12
19,880.0621884640932,122.26588325366366,302.4209289550781,10.081149101257324,74.20395302345223,2005-08-12,2005,LW,484.8079472568144,106080.17694964157,-0.6140022380996932,-0.1503884309389682,2005-12-23
20,1483.6806478574886,25.78243059387922,282.4901123046875,5.342865943908691,15.606119009268776,2006-02-02,2006,HW,1725.9716715087504,201415.7404878325,-0.7068657609428188,-0.2696380340569742,2006-08-03
21,1512.1308020233012,27.032587826708056,282.4901123046875,5.686615943908691,12.295673275876052,2006-08-03,2006,F,72.94784000310719,183308.0648275862,,,
