,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,time_finish,time_start,water_period,year,mean_discharge,mean_loc_chirps,u_wind_loc,v_wind_loc,watershed,anthropogenic_km2,natural_km2
58,225.4464569091797,27.185564738505125,8.226080894470215,15.196567632079546,1422.279251049122,6.0,1993-09-16,1993-06-16,F,1993,195011.9162365592,213.64504077625384,-1.6132872538403924,0.2882444825540197,Local Watershed,152.38432948164512,1598.2058671145326
61,228.5950164794922,17.250906322411925,7.912693023681641,13.951841429929782,1343.0780762036547,6.0,1994-07-09,1994-04-09,HW,1994,,590.4538658707265,-2.476909779571379,0.1163920344724098,Local Watershed,160.9196186754328,1658.0101591578098
63,225.48080444335935,28.85259296689093,8.111077308654785,31.73583045184791,924.4623171067302,6.0,1994-09-23,1994-07-09,F,1994,,160.82512658443375,-2.211091525835823,0.075806676194873,Local Watershed,160.9196186754328,1658.0101591578098
65,234.2882080078125,69.32361071351092,10.83965301513672,46.99912155316064,1086.9980963252626,6.0,1994-12-24,1994-09-23,LW,1994,,294.6132804103089,-1.814034112028788,0.0871736484662394,Local Watershed,160.9196186754328,1658.0101591578098
67,234.5489654541016,68.10189743027261,8.088418006896973,40.84836732664599,1135.25286697474,6.0,1995-04-09,1994-12-24,R,1994,152476.3165140187,857.2662097366281,-2.1679988553558758,-0.1801214365043792,Local Watershed,160.9196186754328,1658.0101591578098
70,226.2079162597656,29.810546101164725,7.940846920013428,25.01008547476604,1212.2644456217731,6.0,1995-08-31,1995-07-01,F,1995,,83.88397142844458,-2.213986151573652,-0.2638149787483365,Local Watershed,168.5598521550713,1707.3068129927476
74,234.38548278808597,158.83806872727138,10.306994438171388,68.43440119823256,487.1323649525229,6.0,1996-03-08,1995-11-23,R,1995,,967.6149329568476,-1.4149705471171174,-0.3079444129141042,Local Watershed,168.5598521550713,1707.3068129927476
76,231.0649871826172,24.01021126030625,7.910932540893555,18.859751138063,1105.5878839468303,6.0,1996-06-16,1996-03-08,HW,1996,,1056.6831143764666,-1.5281093748946626,-0.1294219195224986,Local Watershed,179.69730382988132,1663.873690096145
78,233.1214599609375,32.388203282985714,8.006062507629395,19.59183935924248,1271.512035034952,6.0,1996-09-16,1996-06-16,F,1996,199925.8369892473,277.66966442083094,-1.931101794096626,0.0292592919815299,Local Watershed,179.69730382988132,1663.873690096145
79,235.1846160888672,196.886969535939,9.011154174804688,52.19696921409462,894.626597050151,6.0,1996-12-16,1996-09-16,LW,1996,,204.28563349637503,-1.9472641213066064,0.4399426928904141,Local Watershed,179.69730382988132,1663.873690096145
