time_finish,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_min_fill,TSS_stdDev_fill
1997-06-16,230.02052307128903,16.229499160806224,7.890129566192627,9.00393071477684,1271.9366898558246,1997-03-16,HW,1997,224371.08760869564,701.3494785283574,-0.9679507743534158,-0.1874450193409501,Regional Watershed,2904.1655895876643,303245.9310649883,230.02052307128903,7.890129566192627,9.00393071477684
1997-09-16,215.64157104492188,20.31110603763128,7.925432205200195,12.573516795861511,1394.4259217378697,1997-06-16,F,1997,190923.81870967743,215.19789231613896,-0.953152323065997,-0.2795333531302612,Regional Watershed,2904.1655895876643,303245.9310649883,215.64157104492188,7.925432205200195,12.573516795861511
1997-12-24,231.7582855224609,201.87690817595265,10.005043983459473,42.61930658568441,701.9213948230902,1997-09-16,LW,1997,83465.56137000001,193.5981336517268,-0.9319662445221304,-0.3017939089798322,Regional Watershed,2904.1655895876643,303245.9310649883,231.7582855224609,10.005043983459473,42.61930658568441
1998-08-31,229.26873779296875,50.38511227196603,8.042795181274414,26.517590580335487,1288.2068463346063,1998-07-01,F,1998,186562.9527557653,217.68589238032425,-0.4770187721913387,-0.2054233660201348,Regional Watershed,3366.9990368322374,303177.3017494903,229.26873779296875,8.042795181274414,26.517590580335487
1999-04-01,234.7637939453125,142.26112366614697,8.13782024383545,78.42195368553753,576.6469571402865,1998-11-30,R,1999,152160.23011136602,1142.677403579588,-0.6968110325699067,-0.3782838431700084,Regional Watershed,3531.7938141316563,301213.5308673623,234.7637939453125,8.13782024383545,78.42195368553753
1999-07-09,224.28599548339844,21.414758963660912,7.879195213317871,23.13235420453193,1296.152876771679,1999-04-01,HW,1999,229363.7976947187,968.8207231605918,-0.5203579399317682,-0.169187202851522,Regional Watershed,3531.7938141316563,301213.5308673623,224.28599548339844,7.879195213317871,23.13235420453193
1999-09-23,218.0203399658203,24.320307128219163,7.925432205200195,16.166742837903104,1437.851060382755,1999-07-09,F,1999,205907.6493107454,307.9084650890632,-0.3646481649551241,-0.2858344448945484,Regional Watershed,3531.7938141316563,301213.5308673623,218.0203399658203,7.925432205200195,16.166742837903104
1999-12-24,232.8074951171875,170.18502347276527,10.924068450927734,59.11692249599392,881.7249647950983,1999-09-23,LW,1999,107236.24162108832,401.4419832370314,-0.5691115061392207,-0.1339201852408476,Regional Watershed,3531.7938141316563,301213.5308673623,232.8074951171875,10.924068450927734,59.11692249599392
2000-04-08,234.48280334472656,93.88686224976703,9.016607284545898,68.32542884777558,896.1720387349477,1999-12-24,R,2000,153209.3512506782,1090.2571501723946,-0.6104002772828008,-0.4992367258154842,Regional Watershed,3555.6779665629656,302028.0448936555,234.48280334472656,9.016607284545898,68.32542884777558
2000-07-16,223.8042449951172,17.10488468405033,7.871316909790039,13.654779127886329,1308.164311375146,2000-04-08,HW,2000,222984.17318174167,972.7781268607932,-0.658269949624101,-0.1467533850330868,Regional Watershed,3555.6779665629656,302028.0448936555,223.8042449951172,7.871316909790039,13.654779127886329
2000-10-16,218.72747802734372,24.709793433450137,7.940486431121826,14.493446604978846,1326.5741957042037,2000-07-16,F,2000,185997.6801789526,334.87697150293604,-0.663549993358914,-0.0459722263496319,Regional Watershed,3555.6779665629656,302028.0448936555,218.72747802734372,7.940486431121826,14.493446604978846
2001-01-07,233.3350982666016,184.78572523367484,10.83965301513672,54.69632573166754,902.849114169824,2000-10-16,LW,2001,115295.39101283501,307.2231550185768,-0.6712959461893158,-0.4238865015191526,Regional Watershed,3569.72174034332,302020.9438779452,233.3350982666016,10.83965301513672,54.69632573166754
2001-03-24,232.16357421875,86.6593942757707,8.784039497375488,58.23594469246324,1134.295313519154,2001-01-07,R,2001,165433.09051409,694.7736838662762,-0.9812897573309068,-0.5684402419775534,Regional Watershed,3569.72174034332,302020.9438779452,232.16357421875,8.784039497375488,58.23594469246324
2001-06-16,228.1894378662109,24.95023185579056,7.887654781341553,20.57905879934792,1367.0437435109338,2001-03-24,HW,2001,220891.9229761905,907.1019023544634,-0.6875051025440169,-0.1860658717737931,Regional Watershed,3569.72174034332,302020.9438779452,228.1894378662109,7.887654781341553,20.57905879934792
2001-09-16,215.2109222412109,19.340951655754623,7.910932540893555,10.03000040230972,1395.4928578642912,2001-06-16,F,2001,195585.52741935485,326.7629398325527,-0.6759192178423086,-0.2467347983820739,Regional Watershed,3569.72174034332,302020.9438779452,215.2109222412109,7.910932540893555,10.03000040230972
2001-12-24,232.5489196777344,172.91581034733858,10.83965301513672,58.28226767045798,812.1861538114164,2001-09-16,LW,2001,104194.75157000002,267.6357784410284,-0.7465097024702251,-0.1364560958792815,Regional Watershed,3569.72174034332,302020.9438779452,232.5489196777344,10.83965301513672,58.28226767045798
2002-04-09,235.0374755859375,55.332609976506696,8.50539779663086,29.63017344991901,1156.0449933971745,2001-12-24,R,2002,161312.87371028037,957.850076377668,-0.7999136669527119,-0.5040120944817469,Regional Watershed,3498.139206723977,301948.0362672486,235.0374755859375,8.50539779663086,29.63017344991901
2002-07-09,216.28944396972656,20.54956120856621,7.890129566192627,12.988204241766487,1357.7971873630115,2002-04-09,HW,2002,216281.72166616068,794.8582504104911,-0.7779716198327195,-0.1491210285446155,Regional Watershed,3498.139206723977,301948.0362672486,216.28944396972656,7.890129566192627,12.988204241766487
2002-09-23,218.06881713867188,26.7536901760844,8.116841316223145,15.692749933346036,1398.300325030739,2002-07-09,F,2002,196845.9924034086,181.74904928827868,-0.6332829212415177,-0.1691920788126594,Regional Watershed,3498.139206723977,301948.0362672486,218.06881713867188,8.116841316223145,15.692749933346036
2002-12-24,234.0359649658203,161.60280280842267,10.83965301513672,65.19973498756657,899.2909782520265,2002-09-23,LW,2002,113620.2267282609,352.0778110963979,-0.7383922063578081,-0.2011059242932232,Regional Watershed,3498.139206723977,301948.0362672486,234.0359649658203,10.83965301513672,65.19973498756657
2003-04-09,233.58740234375,106.53181397594015,9.203275680541992,67.70280903777831,936.6414423302444,2002-12-24,R,2003,154128.3973457944,691.298526691926,-1.063486639697865,-0.4323234638154437,Regional Watershed,3573.2502470352188,302387.63220757816,233.58740234375,9.203275680541992,67.70280903777831
2003-07-09,226.0424346923828,32.65328054953229,7.894221305847168,21.925103723330448,1320.4229579830414,2003-04-09,HW,2003,209944.13119744556,870.742560881045,-0.6461943356359644,-0.2038488503849583,Regional Watershed,3573.2502470352188,302387.63220757816,226.0424346923828,7.894221305847168,21.925103723330448
2003-09-23,228.18182373046875,23.056590133663523,8.09087085723877,17.289416070101236,1342.4247985307736,2003-07-09,F,2003,189787.84120165673,325.62632732021774,-0.4857187622267898,-0.1552036287363713,Regional Watershed,3573.2502470352188,302387.63220757816,228.18182373046875,8.09087085723877,17.289416070101236
2003-12-16,235.1651306152344,176.99009080112776,10.828718185424805,63.95991799531605,1006.5939725160288,2003-09-23,LW,2003,114043.31148162948,247.835558531468,-0.619305282894896,-0.0268583259517578,Regional Watershed,3573.2502470352188,302387.63220757816,235.1651306152344,10.828718185424805,63.95991799531605
2004-03-16,235.435546875,163.3542731362934,8.868292808532715,69.04686826344708,1014.063470306324,2003-12-16,R,2004,140320.09798063542,665.261006245529,-0.7444575807094218,-0.5089978331585564,Regional Watershed,3708.539027168704,302627.46702780464,235.435546875,8.868292808532715,69.04686826344708
2004-06-16,232.0974578857422,39.05706998570869,8.056079864501953,26.236009825359268,1362.4633823803026,2004-03-16,HW,2004,200829.89423913052,974.0737469129082,-0.7004867098669874,-0.1177778926846103,Regional Watershed,3708.539027168704,302627.46702780464,232.0974578857422,8.056079864501953,26.236009825359268
2004-09-16,232.0791473388672,39.54264805494731,8.241060256958008,17.68869663215676,1344.387070473793,2004-06-16,F,2004,180681.39612903225,383.82185864520017,-0.5903232181624931,-0.1833370605643732,Regional Watershed,3708.539027168704,302627.46702780464,232.0791473388672,8.241060256958008,17.68869663215676
2004-12-16,233.7545318603516,178.50024611292463,10.605066299438477,49.86272211125438,937.833274427502,2004-09-16,LW,2004,115842.87246937474,241.5684920729288,-0.5009321718927364,0.0476800476891037,Regional Watershed,3708.539027168704,302627.46702780464,233.7545318603516,10.605066299438477,49.86272211125438
2005-03-16,234.29122924804688,161.74315852028022,8.288423538208008,65.55954871208148,993.8951880683246,2004-12-16,R,2005,143211.8623749576,806.8873677580877,-0.5834376891124222,-0.3013137511430115,Regional Watershed,3902.499803545588,302076.1357855465,234.29122924804688,8.288423538208008,65.55954871208148
2005-06-08,232.69281005859372,44.4539171661687,7.932438373565674,28.148291897117957,1458.8827290876725,2005-03-16,HW,2005,215854.65206018448,926.2884661239004,-0.906504327997352,-0.1209346746504497,Regional Watershed,3902.499803545588,302076.1357855465,232.69281005859372,7.932438373565674,28.148291897117957
2005-08-23,217.8419952392578,22.82676142492232,7.932968616485596,11.631618499278671,1459.3398103156192,2005-06-08,F,2005,193190.4211827926,343.85788939744094,-0.4850952780880235,-0.4378491634953884,Regional Watershed,3902.499803545588,302076.1357855465,217.8419952392578,7.932968616485596,11.631618499278671
2005-11-23,233.8891448974609,149.22042591912833,10.828718185424805,67.56147314606083,840.001407327343,2005-08-23,LW,2005,92682.09352173912,231.1580618956449,-0.6039228032029285,-0.0791123810577413,Regional Watershed,3902.499803545588,302076.1357855465,233.8891448974609,10.828718185424805,67.56147314606083
2006-03-09,228.5950164794922,40.97509365116669,8.094075202941895,19.89128082744535,1265.5818701104415,2005-11-23,R,2006,145596.3938224299,909.1101454097428,-0.7276000130972029,-0.4101763621099997,Regional Watershed,4023.1268622099738,301691.3430215782,228.5950164794922,8.094075202941895,19.89128082744535
2006-06-16,232.54542541503903,25.341481579739067,7.900279521942139,20.97898148260263,1431.3216756729416,2006-03-09,HW,2006,229704.03980000003,1160.7908198602383,-0.6860865757948265,-0.1187468287606086,Regional Watershed,4023.1268622099738,301691.3430215782,232.54542541503903,7.900279521942139,20.97898148260263
2006-09-16,217.6182556152344,23.632488223077143,8.045127868652344,9.595307504939507,1525.1863525719953,2006-06-16,F,2006,197713.9829032258,361.9825331001019,-0.544453627009617,-0.36276194988406,Regional Watershed,4023.1268622099738,301691.3430215782,217.6182556152344,8.045127868652344,9.595307504939507
2006-12-24,235.1406097412109,183.76212333890675,8.767578125,55.45311301742732,790.9405580131615,2006-09-16,LW,2006,103431.77143,353.3243049754591,-0.7006002629141236,-0.1982458543825315,Regional Watershed,4023.1268622099738,301691.3430215782,235.1406097412109,8.767578125,55.45311301742732
2007-04-09,231.75466918945312,60.06531153073344,8.244890213012695,27.668555434754587,1252.3337068014102,2006-12-24,R,2007,164946.1878691589,848.3135948745214,-0.8494481583912732,-0.4607980183889407,Regional Watershed,3997.057336795336,301225.83958236495,231.75466918945312,8.244890213012695,27.668555434754587
2007-07-09,222.45623779296875,24.546124793342575,7.912693023681641,16.647023153972526,1458.9276931970849,2007-04-09,HW,2007,217282.84768187045,888.5887073106602,-0.5782632636880664,-0.2231755467785441,Regional Watershed,3997.057336795336,301225.83958236495,222.45623779296875,7.912693023681641,16.647023153972526
2007-09-23,229.0827178955078,30.0945831445042,8.048460006713867,16.577484448529578,1431.244499561231,2007-07-09,F,2007,184403.42174133981,326.1575306879827,-0.4410282727123641,-0.4419502208712025,Regional Watershed,3997.057336795336,301225.83958236495,229.0827178955078,8.048460006713867,16.577484448529578
2007-12-24,229.0326995849609,107.11740263728996,10.83965301513672,53.95137401052455,951.3347028728538,2007-09-23,LW,2007,105515.67622355136,387.90319564923664,-0.6346337126734762,-0.2863378639942686,Regional Watershed,3997.057336795336,301225.83958236495,229.0326995849609,10.83965301513672,53.95137401052455
2008-04-08,228.6107177734375,42.89589576647109,8.030305862426758,20.528865646381057,1424.7736218142916,2007-12-24,R,2008,179707.76239922133,943.07915490951,-0.7581690185041766,-0.5594300261887211,Regional Watershed,4041.4748962794606,300793.81569328194,228.6107177734375,8.030305862426758,20.528865646381057
2008-07-09,215.13650512695312,19.61069262739656,7.920907974243164,11.917000702059148,1544.351923470245,2008-04-08,HW,2008,234281.15829384135,920.9185882520168,-0.5094859232610672,-0.2759222764454012,Regional Watershed,4041.4748962794606,300793.81569328194,215.13650512695312,7.920907974243164,11.917000702059148
2008-09-23,218.30062866210935,27.41978597298248,10.708502769470217,10.521386143719337,1473.9615802765577,2008-07-09,F,2008,187961.75224922676,318.0045030054036,-0.475697984633468,-0.3383953330385229,Regional Watershed,4041.4748962794606,300793.81569328194,218.30062866210935,10.708502769470217,10.521386143719337
2008-12-16,234.6470184326172,174.18851457806016,10.83965301513672,56.68583354074914,895.1150323841769,2008-09-23,LW,2008,111283.6243863526,389.3577560599013,-0.3033319716747302,-0.145848247881313,Regional Watershed,4041.4748962794606,300793.81569328194,234.6470184326172,10.83965301513672,56.68583354074914
2009-03-16,235.12559509277344,100.3768102594413,8.185346603393555,59.067825494162335,1143.3131323365897,2008-12-16,R,2009,174123.0963166784,982.4917161086388,-0.7338884904659685,-0.5256066266527266,Regional Watershed,4231.882939493901,300446.6957431137,235.12559509277344,8.185346603393555,59.067825494162335
2009-06-16,230.37767028808597,25.9127150568765,7.902099609375,16.468539753394616,1533.0528615882608,2009-03-16,HW,2009,247497.77739130432,1001.4935254255578,-0.7865564809416192,-0.1099523514689497,Regional Watershed,4231.882939493901,300446.6957431137,230.37767028808597,7.902099609375,16.468539753394616
2009-09-16,215.13650512695312,19.618873856722328,7.940846920013428,6.579395997259359,1632.2603800863171,2009-06-16,F,2009,228467.13451612904,260.42000344287715,-0.967606559901307,-0.226155165971406,Regional Watershed,4231.882939493901,300446.6957431137,215.13650512695312,7.940846920013428,6.579395997259359
2009-12-16,231.5045166015625,90.69269946593654,10.828718185424805,59.84941164494684,940.359836466838,2009-09-16,LW,2009,111141.13826570455,196.28444621011604,-1.011925971766811,-0.4177976433587874,Regional Watershed,4231.882939493901,300446.6957431137,231.5045166015625,10.828718185424805,59.84941164494684
2010-03-16,231.9976348876953,64.56680111048527,10.726144790649414,43.85055645020105,1107.374412342253,2009-12-16,R,2010,144687.48891640076,578.8248099256149,-1.0248346770755865,-0.5524804044736793,Regional Watershed,4280.458667335962,301202.25349911,231.9976348876953,10.726144790649414,43.85055645020105
2010-06-16,226.972900390625,24.49089181057112,7.849280834197998,15.499034351203871,1405.6454217937962,2010-03-16,HW,2010,208088.98043478257,1057.2442610111673,-0.560612639025533,-0.102382746749414,Regional Watershed,4280.458667335962,301202.25349911,226.972900390625,7.849280834197998,15.499034351203871
2010-09-16,226.06837463378903,27.02832174155575,7.918811321258545,11.888457676981096,1428.3716402360426,2010-06-16,F,2010,183720.5707526882,449.9773941888524,-0.5922161510459747,-0.5059223393208572,Regional Watershed,4280.458667335962,301202.25349911,226.06837463378903,7.918811321258545,11.888457676981096
2010-12-24,233.88414001464844,166.20242919216932,8.173882484436035,64.18444140420185,704.6098963863473,2010-09-16,LW,2010,86233.76481000001,459.929997845847,-0.5043994015676854,-0.3201301222926124,Regional Watershed,4280.458667335962,301202.25349911,233.88414001464844,8.173882484436035,64.18444140420185
2011-04-09,234.2957305908203,47.53664594192395,8.054278373718262,33.930798785671584,1028.0580175605126,2010-12-24,R,2011,154222.23334579438,1254.9297155861354,-0.7075315843883422,-0.4809674850940371,Regional Watershed,4208.065271058273,301027.3585552806,234.2957305908203,8.054278373718262,33.930798785671584
2011-07-01,215.13650512695312,18.387730572425717,7.849280834197998,9.579272963435566,1411.0294270963911,2011-04-09,HW,2011,230596.99036837023,775.8191213841695,-0.743844806663222,-0.086433291262873,Regional Watershed,4208.065271058273,301027.3585552806,215.13650512695312,7.849280834197998,9.579272963435566
