,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_start,year,water_period,mean_precipitation,mean_discharge,mean_u__wind,mean_v__wind,time_finish,anthropic_km2,class_name
10,1383.2961520714457,45.26106073384154,296.4863586425781,6.048137187957764,20.12854682876976,1993-08-05,1993,F,41.340459812803005,162023.60844444443,-0.9400743271881368,0.1975792087517775,1993-09-12,3332.313777027512,Non-natural
11,982.2766210430462,98.01359569526582,306.0490417480469,6.488508701324463,68.44510594766115,1993-09-12,1993,LW,210.70686163368748,116578.9407626728,-0.8740662382589353,0.1467575499208835,1993-11-29,3332.313777027512,Non-natural
12,1199.3030161506292,27.833677541186955,282.4901123046875,5.898027896881104,24.52509720801475,1994-01-15,1994,HW,1887.0822689987465,206425.27627007983,-1.7197543484842903,-0.1528674592090796,1994-08-25,3465.7163770750685,Non-natural
13,1311.5125500722083,39.43620138367386,283.12060546875,6.048137187957764,18.655626471751347,1994-08-25,1994,F,33.16086517265963,183063.7928055556,-1.712545495373862,0.0229033032365003,1994-10-01,3465.7163770750685,Non-natural
14,1003.1628282542129,104.55276285723204,296.4863586425781,6.781344413757324,56.80241772763302,1994-10-01,1994,LW,286.6350542792434,114383.06567380951,-1.4342668825032725,-0.045195236326505,1994-12-26,3465.7163770750685,Non-natural
15,1159.6540166867185,53.92886289434488,288.7114562988281,5.892349243164063,37.8868075990477,1995-03-26,1995,HW,1172.083975684562,187641.79376545697,-1.4930195380636406,-0.1410572186957933,1995-07-20,3627.713375891947,Non-natural
16,1262.8478471893677,22.61347045851396,282.4901123046875,5.67499589920044,23.87588333205999,1995-07-20,1995,F,12.616056047804111,178445.254,-1.8612745864616729,-0.3430068524518737,1995-08-17,3627.713375891947,Non-natural
17,617.3864330964858,142.9794627249951,306.0490417480469,6.781344413757324,72.22587608925382,1995-08-17,1995,LW,364.3581647307026,104159.9485097542,-1.2587050011874588,0.0232776312147367,1995-12-31,3627.713375891947,Non-natural
18,1108.942604186691,26.59010030171457,282.4901123046875,5.819321632385254,21.91241591113313,1996-02-17,1996,HW,1450.9678176610446,192157.3945125448,-1.2613495572626672,-0.1814714847755005,1996-08-09,3851.4594134489375,Non-natural
19,1268.635118101389,34.25253840098676,294.67303466796875,5.733511924743652,18.75636998210275,1996-08-09,1996,F,46.47744374556038,166063.56238095235,-1.5060712001368426,0.1676283405972765,1996-09-11,3851.4594134489375,Non-natural
20,914.8587783139596,204.3059599354139,306.0490417480469,5.909254550933838,59.147752891800245,1996-09-11,1996,LW,215.1459509947941,116646.54309039588,-1.4878239645375522,0.2425079319739327,1996-12-29,3851.4594134489375,Non-natural
21,1401.0223267376648,15.427294598670054,216.90159606933597,5.67499589920044,16.369008128971767,1997-02-21,1997,HW,753.5175475182702,201770.26519892475,-1.9335496255744733,-0.2418530230659104,1997-07-30,4334.899089974186,Non-natural
22,1388.131600759376,24.501873181419068,282.4901123046875,5.868872165679932,14.284304570333434,1997-07-30,1997,F,39.87733873649472,196750.02625,-2.0498081984058505,-0.299571212785335,1997-08-24,4334.899089974186,Non-natural
23,764.2234827628865,195.06927638415112,306.0490417480469,6.918151378631592,64.53914329116262,1997-08-24,1997,LW,348.24182823973507,114920.31461430108,-2.0991009413038983,-0.2298763064882436,1998-02-08,4334.899089974186,Non-natural
24,1233.2361367312153,47.38494233001558,296.4863586425781,5.868872165679932,34.7639888673364,1998-04-10,1998,HW,610.8968135973913,195144.4928317972,-1.5996219175722264,0.0338763265769256,1998-07-24,4798.819816914227,Non-natural
25,1274.3298973713904,55.64664300450023,282.4901123046875,5.972805500030518,28.25455266917498,1998-07-24,1998,F,18.27376122144664,177254.5376923077,-1.428602469881359,-0.0815373181031579,1998-08-25,4798.819816914227,Non-natural
26,508.1464761911986,175.51813531702064,303.3594970703125,6.599337100982666,72.26090599173129,1998-08-25,1998,LW,420.1603565353868,123682.43860833332,-1.0254616740629647,-0.0276299561767478,1999-01-07,4798.819816914227,Non-natural
