time_finish,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_mean_fill,TSS_min_fill,TSS_stdDev_fill,area_km2_fill
2007-12-24 00:00:00,229.0326995849609,107.11740263728996,10.83965301513672,53.95137401052455,951.3347028728538,2007-09-23 00:00:00,LW,2007,105515.67622355136,387.90319564923664,-0.6346337126734762,-0.2863378639942686,Regional Watershed,3997.057336795336,301225.83958236495,229.0326995849609,107.11740263728996,10.83965301513672,53.95137401052455,951.3347028728538
2007-12-24 06:00:00,,,,,,2007-09-23 18:00:00,LW,2007,105467.5496195652,389.0695972119058,-0.6353414189769435,-0.28640938903923086,Regional Watershed,3997.057336795336,301225.83958236495,229.03312550167576,107.17349110184406,10.841257236687206,53.97597936791352,951.087972995647
2008-04-08 00:00:00,228.6107177734375,42.89589576647109,8.030305862426758,20.528865646381057,1424.7736218142916,2007-12-24 00:00:00,R,2008,179707.76239922133,943.07915490951,-0.7581690185041766,-0.5594300261887211,Regional Watershed,4041.4748962794606,300793.81569328194,228.6107177734375,42.89589576647109,8.030305862426758,20.528865646381057,1424.7736218142916
2008-04-08 18:00:00,,,,,,2007-12-24 06:00:00,R,2008,180471.57483018868,946.0724498140869,-0.7569018167704358,-0.5590336119991376,Regional Watershed,4041.4748962794606,300793.81569328194,228.5370710928401,42.448705529485615,8.009110671937032,20.311281439908655,1427.9304298374984
2008-07-09 00:00:00,215.13650512695312,19.61069262739656,7.920907974243164,11.917000702059148,1544.351923470245,2008-04-08 00:00:00,HW,2008,234281.15829384135,920.9185882520168,-0.5094859232610672,-0.2759222764454012,Regional Watershed,4041.4748962794606,300793.81569328194,215.13650512695312,19.61069262739656,7.920907974243164,11.917000702059148,1544.351923470245
2008-07-09 06:00:00,,,,,,2008-04-08 18:00:00,HW,2008,234272.15358695656,919.3834280914488,-0.5091571454819167,-0.27567296253892204,Regional Watershed,4041.4748962794606,300793.81569328194,215.11437905612664,19.539086465066504,7.927946768417068,11.893601383891793,1544.4848822523722
2008-09-23 00:00:00,218.30062866210935,27.41978597298248,10.708502769470217,10.521386143719337,1473.9615802765577,2008-07-09 00:00:00,F,2008,187961.75224922676,318.0045030054036,-0.475697984633468,-0.3383953330385229,Regional Watershed,4041.4748962794606,300793.81569328194,218.30062866210935,27.41978597298248,10.708502769470217,10.521386143719337,1473.9615802765577
2008-09-23 18:00:00,,,,,,2008-07-09 06:00:00,F,2008,187152.5543421053,314.0370171109015,-0.47430673505328136,-0.33754827095555,Regional Watershed,4041.4748962794606,300793.81569328194,218.42666361840492,28.34871217050298,10.72937752970141,10.746801531913421,1470.1643622736046
2008-12-16 00:00:00,234.6470184326172,174.18851457806016,10.83965301513672,56.68583354074914,895.1150323841769,2008-09-23 00:00:00,LW,2008,111283.6243863526,389.3577560599013,-0.3033319716747302,-0.145848247881313,Regional Watershed,4041.4748962794606,300793.81569328194,234.6470184326172,174.18851457806016,10.83965301513672,56.68583354074914,895.1150323841769
2008-12-16 06:00:00,,,,,,2008-09-23 18:00:00,LW,2008,111238.95966666666,390.75286308338156,-0.3037113653640206,-0.1462284171726763,Regional Watershed,4041.4748962794606,300793.81569328194,234.67626906619398,174.37640672271758,10.833890131260128,56.79750230652011,894.3002734044663
2009-03-16 00:00:00,235.12559509277344,100.3768102594413,8.185346603393555,59.067825494162335,1143.3131323365897,2008-12-16 00:00:00,R,2009,174123.0963166784,982.4917161086388,-0.7338884904659685,-0.5256066266527266,Regional Watershed,4231.882939493901,300446.6957431137,235.12559509277344,100.3768102594413,8.185346603393555,59.067825494162335,1143.3131323365897
2009-03-16 18:00:00,,,,,,2008-12-16 06:00:00,R,2009,174916.4340222222,986.3402319322447,-0.7364837461386641,-0.5257277545303408,Regional Watershed,4231.882939493901,300446.6957431137,235.1076947058512,99.40846076423128,8.171778259583293,58.82120650795024,1147.1233558335398
2009-06-16 00:00:00,230.37767028808597,25.9127150568765,7.902099609375,16.468539753394616,1533.0528615882608,2009-03-16 00:00:00,HW,2009,247497.77739130432,1001.4935254255578,-0.7865564809416192,-0.1099523514689497,Regional Watershed,4231.882939493901,300446.6957431137,230.37767028808597,25.9127150568765,7.902099609375,16.468539753394616,1533.0528615882608
2009-06-16 00:00:00,,,,,,2009-03-16 18:00:00,HW,2009,247497.77739130435,1001.4935254255576,-0.7865564809416192,-0.10995235146894972,Regional Watershed,4231.882939493901,300446.6957431137,230.37767028808594,25.9127150568765,7.902099609375,16.468539753394616,1533.0528615882604
2009-09-16 00:00:00,215.13650512695312,19.618873856722328,7.940846920013428,6.579395997259359,1632.2603800863171,2009-06-16 00:00:00,F,2009,228467.13451612904,260.42000344287715,-0.967606559901307,-0.226155165971406,Regional Watershed,4231.882939493901,300446.6957431137,215.13650512695312,19.618873856722328,7.940846920013428,6.579395997259359,1632.2603800863171
2009-12-16 00:00:00,231.5045166015625,90.69269946593654,10.828718185424805,59.84941164494684,940.359836466838,2009-09-16 00:00:00,LW,2009,111141.13826570455,196.28444621011604,-1.011925971766811,-0.4177976433587874,Regional Watershed,4231.882939493901,300446.6957431137,231.5045166015625,90.69269946593654,10.828718185424805,59.84941164494684,940.359836466838
2009-12-16 06:00:00,,,,,,2009-09-16 00:00:00,LW,2009,110983.36233695652,196.8859041830607,-1.0121549077969978,-0.41851282499702097,Regional Watershed,4231.882939493901,300446.6957431137,231.54210237188795,90.78037931922339,10.834872097362345,59.92339435946585,939.3407641382656
2010-03-16 00:00:00,231.9976348876953,64.56680111048527,10.726144790649414,43.85055645020105,1107.374412342253,2009-12-16 00:00:00,R,2010,144687.48891640076,578.8248099256149,-1.0248346770755865,-0.5524804044736793,Regional Watershed,4280.458667335962,301202.25349911,231.9976348876953,64.56680111048527,10.726144790649414,43.85055645020105,1107.374412342253
2010-03-16 18:00:00,,,,,,2009-12-16 06:00:00,R,2010,145343.79483333335,583.9102417942665,-1.0224190793367836,-0.5500393766971459,Regional Watershed,4280.458667335962,301202.25349911,231.94949056310242,64.17677035137937,10.706630101915636,43.570002478571006,1110.479640214093
2010-06-16 00:00:00,226.972900390625,24.49089181057112,7.849280834197998,15.499034351203871,1405.6454217937962,2010-03-16 00:00:00,HW,2010,208088.98043478257,1057.2442610111673,-0.560612639025533,-0.102382746749414,Regional Watershed,4280.458667335962,301202.25349911,226.972900390625,24.49089181057112,7.849280834197998,15.499034351203871,1405.6454217937962
2010-06-16 00:00:00,,,,,,2010-03-16 18:00:00,HW,2010,208088.9804347826,1057.2442610111675,-0.560612639025533,-0.10238274674941397,Regional Watershed,4280.458667335962,301202.25349911,226.972900390625,24.490891810571117,7.849280834197998,15.499034351203873,1405.6454217937962
2010-09-16 00:00:00,226.06837463378903,27.02832174155575,7.918811321258545,11.888457676981096,1428.3716402360426,2010-06-16 00:00:00,F,2010,183720.5707526882,449.9773941888524,-0.5922161510459747,-0.5059223393208572,Regional Watershed,4280.458667335962,301202.25349911,226.06837463378903,27.02832174155575,7.918811321258545,11.888457676981096,1428.3716402360426
2010-12-24 00:00:00,233.88414001464844,166.20242919216932,8.173882484436035,64.18444140420185,704.6098963863473,2010-09-16 00:00:00,LW,2010,86233.76481000001,459.929997845847,-0.5043994015676854,-0.3201301222926124,Regional Watershed,4280.458667335962,301202.25349911,233.88414001464844,166.20242919216932,8.173882484436035,64.18444140420185,704.6098963863473
2011-04-09 00:00:00,234.2957305908203,47.53664594192395,8.054278373718262,33.930798785671584,1028.0580175605126,2010-12-24 00:00:00,R,2011,154222.23334579438,1254.9297155861354,-0.7075315843883422,-0.4809674850940371,Regional Watershed,4208.065271058273,301027.3585552806,234.2957305908203,47.53664594192395,8.054278373718262,33.930798785671584,1028.0580175605126
2011-07-01 00:00:00,215.13650512695312,18.387730572425717,7.849280834197998,9.579272963435566,1411.0294270963911,2011-04-09 00:00:00,HW,2011,230596.99036837023,775.8191213841695,-0.743844806663222,-0.086433291262873,Regional Watershed,4208.065271058273,301027.3585552806,215.13650512695312,18.387730572425717,7.849280834197998,9.579272963435566,1411.0294270963911
2011-07-01 12:00:00,,,,,,2011-04-09 00:00:00,HW,2011,230737.68333333332,770.5507679543506,-0.7447097371106118,-0.08684600658004053,Regional Watershed,4208.065271058273,301027.3585552806,215.06496581176447,18.294319969939593,7.861875507917595,9.490881489858708,1412.742540356462
2011-08-31 00:00:00,215.5395355224609,24.38359079449372,10.010379791259766,11.162473584889582,1447.818425770927,2011-07-01 00:00:00,F,2011,206777.2277479059,206.96905501942496,-0.8259758261096444,-0.3735229362886707,Regional Watershed,4208.065271058273,301027.3585552806,215.5395355224609,24.38359079449372,10.010379791259766,11.162473584889582,1447.818425770927
2011-08-31 12:00:00,,,,,,2011-07-01 12:00:00,F,2011,206269.7473770492,204.3359257518073,-0.825093313988374,-0.37518256034185954,Regional Watershed,4208.065271058273,301027.3585552806,215.6093668267226,24.85037056925525,10.021190412664469,11.346239849874566,1445.7268671873733
2011-11-23 00:00:00,232.6334381103516,164.94726661599185,9.243779182434082,62.96249560158394,792.9994450613322,2011-08-31 00:00:00,LW,2011,108946.67250573312,315.0967164171076,-0.4289554229268823,-0.2728357199449381,Regional Watershed,4208.065271058273,301027.3585552806,232.6334381103516,164.94726661599185,9.243779182434082,62.96249560158394,792.9994450613322
2011-11-23 06:00:00,,,,,,2011-08-31 12:00:00,LW,2011,108774.88925,316.37999073746585,-0.4282590729140725,-0.27253325302699666,Regional Watershed,4208.065271058273,301027.3585552806,232.67764084897036,165.2699878969265,9.238894657464636,63.08021690136227,791.5062835987982
2012-03-08 00:00:00,,,,,,2011-11-23 00:00:00,R,2012,146608.8453671042,862.3722727094713,-0.6569687464351621,-0.3472432307282084,Regional Watershed,4089.808778730512,300559.4885925508,237.89082632276123,148.81766498086716,8.196549739658986,57.78993597514858,899.8841661408948
2012-03-08 18:00:00,,,,,,2011-11-23 06:00:00,R,2012,147394.78501886793,865.26170664932,-0.659521623376754,-0.3463474086513106,Regional Watershed,4089.808778730512,300559.4885925508,237.84737052817053,147.95565039210888,8.194066134647857,57.482688467502044,904.2788834420516
2012-06-16 00:00:00,225.8527984619141,23.806893736948176,7.903843879699707,12.71747320382548,1542.015689773139,2012-03-08 00:00:00,HW,2012,242333.8637,902.2750245152786,-0.7997508236432229,-0.1095528155752175,Regional Watershed,4089.808778730512,300559.4885925508,225.8527984619141,23.806893736948176,7.903843879699707,12.71747320382548,1542.015689773139
2012-06-16 00:00:00,,,,,,2012-03-08 18:00:00,HW,2012,242333.8637,902.2750245152787,-0.7997508236432229,-0.10955281557521748,Regional Watershed,4089.808778730512,300559.4885925508,225.85279846191406,23.806893736948176,7.903843879699707,12.717473203825481,1542.015689773139
2012-09-16 00:00:00,215.9747009277344,23.17317998152217,7.944692611694336,8.83293162979944,1545.135801675982,2012-06-16 00:00:00,F,2012,208690.6603225806,365.196286597452,-0.697867500159679,-0.3044965709953496,Regional Watershed,4089.808778730512,300559.4885925508,215.9747009277344,23.17317998152217,7.944692611694336,8.83293162979944,1545.135801675982
