"","area_km2","mean_SPM","max_SPM","min_SPM","stdDev_SPM","time_start","year","water_period","mean_precipitation","mean_discharge","time_finish","anthropic_km2","class_name","mean_u__wind","mean_v__wind"
"15",1003.16282825421,104.552762857232,296.486358642578,6.78134441375732,56.802417727633,"1994-10-01",1994,"LW",293.528779519198,114383.06567381,"1994-12-26",3519.96066352783,"Non-natural",-0.752180491699939,-0.294148453057751
"16",1159.65401668672,53.9288628943449,288.711456298828,5.89234924316406,37.8868075990477,"1995-03-26",1995,"HW",1023.3794040461,187641.793765457,"1995-07-20",3681.94004723631,"Non-natural",-0.730860459424429,-0.158593319679128
"17",1262.84784718937,22.613470458514,282.490112304688,5.67499589920044,23.87588333206,"1995-07-20",1995,"F",62.0738638543566,178445.254,"1995-08-17",3681.94004723631,"Non-natural",-0.735451205926021,-0.354462279714088
"18",617.386433096486,142.979462724995,306.049041748047,6.78134441375732,72.2258760892538,"1995-08-17",1995,"LW",511.641790429394,104159.948509754,"1995-12-31",3681.94004723631,"Non-natural",-0.518904495874489,-0.177988451089135
"19",1108.94260418669,26.5901003017146,282.490112304688,5.81932163238525,21.9124159111331,"1996-02-17",1996,"HW",1526.98063797595,192157.394512545,"1996-08-09",3907.18591152041,"Non-natural",-0.662032058247671,-0.228888450487836
"20",1268.63511810139,34.2525384009868,294.673034667969,5.73351192474365,18.7563699821028,"1996-08-09",1996,"F",95.6059934773832,166063.562380952,"1996-09-11",3907.18591152041,"Non-natural",-0.588539833654779,0.0452731023679246
"21",914.85877831396,204.305959935414,306.049041748047,5.90925455093384,59.1477528918002,"1996-09-11",1996,"LW",373.192190398509,116646.543090396,"1996-12-29",3907.18591152041,"Non-natural",-0.616864768127066,-0.0375530468413629
"22",1401.02232673766,15.4272945986701,216.901596069336,5.67499589920044,16.3690081289718,"1997-02-21",1997,"HW",1018.12653165677,201770.265198925,"1997-07-30",4397.34385341626,"Non-natural",-0.959236072777607,-0.309468584413467
"23",1388.13160075938,24.5018731814191,282.490112304688,5.86887216567993,14.2843045703334,"1997-07-30",1997,"F",60.6715729472146,196750.02625,"1997-08-24",4397.34385341626,"Non-natural",-0.942458867237089,-0.274747340236535
"24",764.223482762887,195.069276384151,306.049041748047,6.91815137863159,64.5391432911626,"1997-08-24",1997,"LW",483.098862178618,114920.314614301,"1998-02-08",4397.34385341626,"Non-natural",-1.00270046927933,-0.355681939512415
"25",1233.23613673122,47.3849423300156,296.486358642578,5.86887216567993,34.7639888673364,"1998-04-10",1998,"HW",825.870816642418,195144.492831797,"1998-07-24",4862.4788903972,"Non-natural",-0.691849831030689,-0.0502959514102906
"26",1274.32989737139,55.6466430045002,282.490112304688,5.97280550003052,28.254552669175,"1998-07-24",1998,"F",69.5434140583873,177254.537692308,"1998-08-25",4862.4788903972,"Non-natural",-0.437559952868572,-0.200993490863542
"27",508.146476191199,175.518135317021,303.359497070312,6.59933710098267,72.2609059917313,"1998-08-25",1998,"LW",529.60228709802,123682.438608333,"1999-01-07",4862.4788903972,"Non-natural",-0.510853084889242,-0.191758789846401
