,water_period,media_vazao,Data,type,day,month,year,longitude,latitude,time_start
76,R,142250.53756666664,2008-12-11 20:52:59.220779264,LW_to_R,11,12,2008,-55.5131,-1.9192,2008-12-11
77,HW,219826.38221447775,2009-01-21 22:42:09.729729792,R_to_HW,21,1,2009,-55.5131,-1.9192,2009-01-21
78,F,202542.5635714286,2009-08-29 16:05:32.947976960,HW_to_F,29,8,2009,-55.5131,-1.9192,2009-08-29
79,LW,128126.49152834601,2009-09-19 22:51:53.513513728,F_to_LW,19,9,2009,-55.5131,-1.9192,2009-09-19
80,R,159893.37073045823,2010-01-02 12:53:33.223140352,LW_to_R,2,1,2010,-55.5131,-1.9192,2010-01-02
81,HW,205831.04747849464,2010-03-07 11:53:08.571428352,R_to_HW,7,3,2010,-55.5131,-1.9192,2010-03-07
82,F,182633.59722222225,2010-07-24 08:57:08.571428608,HW_to_F,24,7,2010,-55.5131,-1.9192,2010-07-24
83,LW,114141.14297255377,2010-08-20 02:53:25.839416064,F_to_LW,20,8,2010,-55.5131,-1.9192,2010-08-20
84,R,136688.0720909091,2011-01-17 15:57:13.526011648,LW_to_R,17,1,2011,-55.5131,-1.9192,2011-01-17
85,HW,185957.1281573925,2011-02-23 13:12:28.993288448,R_to_HW,23,2,2011,-55.5131,-1.9192,2011-02-23
86,F,190126.71041666667,2011-08-07 03:02:08.063241216,HW_to_F,7,8,2011,-55.5131,-1.9192,2011-08-07
87,LW,143118.0334922939,2011-08-31 15:10:40.316205568,F_to_LW,31,8,2011,-55.5131,-1.9192,2011-08-31
88,R,141304.2671,2011-12-26 14:05:42.857142784,LW_to_R,26,12,2011,-55.5131,-1.9192,2011-12-26
89,HW,193509.33898146707,2012-01-26 21:14:24.000000000,R_to_HW,26,1,2012,-55.5131,-1.9192,2012-01-26
90,F,170410.18369565214,2012-08-11 01:48:00.000000000,HW_to_F,11,8,2012,-55.5131,-1.9192,2012-08-11
91,LW,110683.14230716479,2012-09-05 08:49:39.310344704,F_to_LW,5,9,2012,-55.5131,-1.9192,2012-09-05
92,R,146860.17380952384,2013-01-08 21:00:58.378378496,LW_to_R,8,1,2013,-55.5131,-1.9192,2013-01-08
93,HW,203547.3328612903,2013-02-12 01:22:32.866242048,R_to_HW,12,2,2013,-55.5131,-1.9192,2013-02-12
94,F,171605.00722222222,2013-08-20 19:00:55.384615424,HW_to_F,20,8,2013,-55.5131,-1.9192,2013-08-20
95,LW,142375.47641754642,2013-09-24 21:45:00.000000000,F_to_LW,24,9,2013,-55.5131,-1.9192,2013-09-24
96,R,162794.57918701298,2013-12-05 14:13:20.000000000,LW_to_R,5,12,2013,-55.5131,-1.9192,2013-12-05
97,HW,205181.13442284643,2014-02-02 01:27:16.363636480,R_to_HW,2,2,2014,-55.5131,-1.9192,2014-02-02
98,F,181229.005483871,2014-09-02 08:00:00.000000000,HW_to_F,2,9,2014,-55.5131,-1.9192,2014-09-02
99,R,148533.56804979796,2014-09-29 00:00:00.000000000,LW_to_R,29,9,2014,-55.5131,-1.9192,2014-09-29
100,HW,198010.68972222222,2015-02-10 08:00:00.000000000,R_to_HW,10,2,2015,-55.5131,-1.9192,2015-02-10
101,F,180306.45410256414,2015-09-02 11:46:35.031055872,HW_to_F,2,9,2015,-55.5131,-1.9192,2015-09-02
102,R,119580.2090948276,2015-09-21 02:58:52.919254528,LW_to_R,21,9,2015,-55.5131,-1.9192,2015-09-21
103,HW,193923.1057701613,2016-04-02 08:14:19.701492480,R_to_HW,2,4,2016,-55.5131,-1.9192,2016-04-02
104,F,174051.1739153226,2016-07-20 23:41:03.157894656,HW_to_F,20,7,2016,-55.5131,-1.9192,2016-07-20
105,R,122697.83812982638,2016-09-02 10:36:55.384615168,LW_to_R,2,9,2016,-55.5131,-1.9192,2016-09-02
106,HW,201998.4205119392,2017-02-01 20:31:08.702290176,R_to_HW,1,2,2017,-55.5131,-1.9192,2017-02-01
107,F,184040.40156250005,2017-08-03 19:22:52.075471872,HW_to_F,3,8,2017,-55.5131,-1.9192,2017-08-03
108,R,136730.59430094727,2017-08-27 04:53:26.037735936,LW_to_R,27,8,2017,-55.5131,-1.9192,2017-08-27
109,HW,190479.61224086024,2018-02-17 19:12:00.000000000,R_to_HW,17,2,2018,-55.5131,-1.9192,2018-02-17
110,F,171801.6035483871,2018-08-15 00:42:02.627737344,HW_to_F,15,8,2018,-55.5131,-1.9192,2018-08-15
111,R,137301.26443548387,2018-09-16 07:20:48.979591680,LW_to_R,16,9,2018,-55.5131,-1.9192,2018-09-16
112,HW,203283.95672727854,2019-01-23 22:50:46.153846272,R_to_HW,23,1,2019,-55.5131,-1.9192,2019-01-23
113,F,179846.42681818182,2019-08-22 14:24:00.000000000,HW_to_F,22,8,2019,-55.5131,-1.9192,2019-08-22
114,R,149345.82601815456,2019-09-18 03:02:41.194029824,LW_to_R,18,9,2019,-55.5131,-1.9192,2019-09-18
115,HW,198614.23958110274,2020-02-07 14:10:54.545454592,R_to_HW,7,2,2020,-55.5131,-1.9192,2020-02-07
116,F,166808.01380000002,2020-08-08 07:40:00.000000000,HW_to_F,8,8,2020,-55.5131,-1.9192,2020-08-08
117,R,111817.2366218638,2020-09-04 21:40:49.070631936,LW_to_R,4,9,2020,-55.5131,-1.9192,2020-09-04
118,HW,214749.52171511773,2021-01-27 13:04:40.239520768,R_to_HW,27,1,2021,-55.5131,-1.9192,2021-01-27
119,F,197150.93499999997,2021-08-30 14:24:00.000000000,HW_to_F,30,8,2021,-55.5131,-1.9192,2021-08-30
