mean_precipitation,month_end,month_init,time_finish,time_start,year
1644.4377249971485,8,2,2000-08-24,2000-02-29,2000
90.97835155587858,9,8,2000-09-28,2000-08-24,2000
336.85405811512675,1,9,2001-01-05,2000-09-28,2000
390.55031639050924,2,1,2001-02-14,2001-01-05,2001
1463.7563772547544,8,2,2001-08-05,2001-02-14,2001
57.79776335579829,9,8,2001-09-07,2001-08-05,2001
299.4283536040809,12,9,2001-12-27,2001-09-07,2001
482.58617779466005,2,12,2002-02-26,2001-12-27,2001
1388.2898214127506,8,2,2002-08-19,2002-02-26,2002
40.46402089064799,9,8,2002-09-18,2002-08-19,2002
352.94758851701005,12,9,2002-12-31,2002-09-18,2002
449.1773722461971,3,12,2003-03-14,2002-12-31,2002
1223.09337278394,8,3,2003-08-12,2003-03-14,2003
179.2444368997524,9,8,2003-09-18,2003-08-12,2003
381.1902348026637,1,9,2004-01-12,2003-09-18,2003
475.28859648375374,3,1,2004-03-08,2004-01-12,2004
1188.846486384993,7,3,2004-07-19,2004-03-08,2004
187.28976227390763,9,7,2004-09-10,2004-07-19,2004
375.72333533661043,1,9,2005-01-08,2004-09-10,2004
424.4426006198768,2,1,2005-02-24,2005-01-08,2005
1372.9521321806217,7,2,2005-07-13,2005-02-24,2005
101.34834305535743,8,7,2005-08-12,2005-07-13,2005
484.8079472568144,12,8,2005-12-23,2005-08-12,2005
399.26102399266216,2,12,2006-02-02,2005-12-23,2005
1725.9716715087504,8,2,2006-08-03,2006-02-02,2006
72.94784000310719,8,8,2006-08-30,2006-08-03,2006
364.80425736098664,12,8,2006-12-23,2006-08-30,2006
295.6319183951628,2,12,2007-02-24,2006-12-23,2006
1554.641952712545,8,2,2007-08-06,2007-02-24,2007
118.9528369492635,9,8,2007-09-04,2007-08-06,2007
413.6848595428862,12,9,2007-12-19,2007-09-04,2007
290.7261063849224,1,12,2008-01-30,2007-12-19,2007
1730.9314233343684,8,1,2008-08-07,2008-01-30,2008
131.47004710518493,9,8,2008-09-06,2008-08-07,2008
399.1820344718657,12,9,2008-12-11,2008-09-06,2008
342.0439483927563,1,12,2009-01-21,2008-12-11,2008
1912.752392576278,8,1,2009-08-29,2009-01-21,2009
29.36809728677476,9,8,2009-09-19,2009-08-29,2009
271.2463105602934,1,9,2010-01-02,2009-09-19,2009
444.0378428024691,3,1,2010-03-07,2010-01-02,2010
1332.4385781527624,7,3,2010-07-24,2010-03-07,2010
130.15116414495955,8,7,2010-08-20,2010-07-24,2010
723.1869152724622,1,8,2011-01-17,2010-08-20,2010
428.92553381689964,2,1,2011-02-23,2011-01-17,2011
1501.4887904798672,8,2,2011-08-07,2011-02-23,2011
87.59842310790398,8,8,2011-08-31,2011-08-07,2011
419.01468112741645,12,8,2011-12-26,2011-08-31,2011
240.479961012016,1,12,2012-01-26,2011-12-26,2011
1666.5956077567548,8,1,2012-08-11,2012-01-26,2012
65.42743537160152,9,8,2012-09-05,2012-08-11,2012
518.2475429886771,1,9,2013-01-08,2012-09-05,2012
318.0429793387766,2,1,2013-02-12,2013-01-08,2013
1621.6422959665897,8,2,2013-08-20,2013-02-12,2013
157.92325079004758,9,8,2013-09-24,2013-08-20,2013
313.39141096228394,12,9,2013-12-05,2013-09-24,2013
288.2931881649858,2,12,2014-02-02,2013-12-05,2013
1764.5243014477874,9,2,2014-09-02,2014-02-02,2014
37.490371861625704,9,9,2014-09-29,2014-09-02,2014
604.6600382509811,2,9,2015-02-10,2014-09-29,2014
1453.1318857692559,9,2,2015-09-02,2015-02-10,2015
24.85893724146611,9,9,2015-09-21,2015-09-02,2015
864.219800217415,4,9,2016-04-02,2015-09-21,2015
836.2372262902902,7,4,2016-07-20,2016-04-02,2016
149.06182241317038,9,7,2016-09-02,2016-07-20,2016
1041.5241859503496,2,9,2017-02-01,2016-09-02,2016
1552.2940067613345,8,2,2017-08-03,2017-02-01,2017
37.050491793986595,8,8,2017-08-27,2017-08-03,2017
807.6455479546918,2,8,2018-02-17,2017-08-27,2017
1475.3682080990266,8,2,2018-08-15,2018-02-17,2018
135.1744902151932,9,8,2018-09-16,2018-08-15,2018
553.1314904381761,1,9,2019-01-23,2018-09-16,2018
1591.3038604605447,8,1,2019-08-22,2019-01-23,2019
73.43853564529043,9,8,2019-09-18,2019-08-22,2019
681.9204356004226,2,9,2020-02-07,2019-09-18,2019
1470.6240513483024,8,2,2020-08-08,2020-02-07,2020
80.59844039232101,9,8,2020-09-04,2020-08-08,2020
747.5738593425951,1,9,2021-01-27,2020-09-04,2020
1764.8550095198239,8,1,2021-08-30,2021-01-27,2021
92.5204218882283,9,8,2021-09-26,2021-08-30,2021
521.1747792881554,1,9,2022-01-01,2021-09-26,2021
2067.0378132102933,8,1,2022-08-24,2022-01-01,2022
65.55412108166304,9,8,2022-09-16,2022-08-24,2022
848.8886661733491,2,9,2023-02-15,2022-09-16,2022
1158.7438732504784,8,2,2023-08-01,2023-02-15,2023
39.496523797656174,8,8,2023-08-25,2023-08-01,2023
849.5096858762752,3,8,2024-03-25,2023-08-25,2023
103.6287121340023,4,3,2024-04-06,2024-03-25,2024
605.5892081464801,5,4,2024-05-30,2024-04-06,2024
680.9346356794605,12,05,2025-01-01,2024-05-30,2024
