,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_finish,time_start,year,WATER_PERIOD
25,1274.3298973713904,55.64664300450023,282.4901123046875,5.972805500030518,28.25455266917498,1998-08-25,1998-07-24,1998,F
26,508.14647619119864,175.51813531702064,303.3594970703125,6.599337100982666,72.26090599173129,1999-01-07,1998-08-25,1998,LW
27,1433.0610356958193,22.2522102056743,217.76548767089844,5.868872165679932,20.29684921793477,1999-08-26,1999-02-13,1999,HW
28,1422.7851922440443,32.38394933699285,282.4901123046875,6.048137187957764,18.926672679485705,1999-09-20,1999-08-26,1999,F
29,866.4711863334554,178.56297855800284,296.4863586425781,8.629003524780273,63.0276727285868,2000-01-13,1999-09-20,1999,LW
30,988.055822576957,73.77907445040162,306.0490417480469,6.6440324783325195,52.140711383937145,2000-02-29,2000-01-13,2000,R
31,1343.5451424328216,20.859878742747316,255.05433654785156,5.296957015991211,15.593235129351399,2000-08-24,2000-02-29,2000,HW
32,983.2276572204636,134.03811756789975,306.0490417480469,8.780908584594727,74.67307385935673,2001-01-05,2000-09-28,2000,LW
33,953.8746699131158,114.03565148061634,306.0490417480469,6.31196928024292,75.57444796915432,2001-02-14,2001-01-05,2001,R
34,1398.9299847497607,20.702566910677508,282.4901123046875,5.342865943908691,20.977717243054673,2001-08-05,2001-02-14,2001,HW
35,1380.9679234466091,23.567422982341924,282.4901123046875,6.248684883117676,12.88539520010177,2001-09-07,2001-08-05,2001,F
36,741.9074228497971,186.85775501936558,296.3789978027344,7.729392051696777,65.01826456545653,2001-12-27,2001-09-07,2001,LW
37,1120.072880326974,90.20584650178962,298.1380615234375,6.858320713043213,62.665660757001035,2002-02-26,2001-12-27,2001,R
38,1389.4015545729806,19.9500789082728,231.26675415039062,5.6749958992004395,11.94524414274765,2002-08-19,2002-02-26,2002,HW
39,1399.701257100673,39.487863916431394,294.67303466796875,6.048137187957764,23.890194223305862,2002-09-18,2002-08-19,2002,F
40,902.4260476378596,174.63073530096503,306.0490417480469,9.325787544250488,70.36650899054764,2002-12-31,2002-09-18,2002,LW
41,942.6308025525293,117.09158785396126,306.0490417480469,7.038229942321777,80.91061253409002,2003-03-14,2002-12-31,2002,R
42,1328.735827622836,33.52744446240044,284.38006591796875,5.6635236740112305,22.346080762074273,2003-08-12,2003-03-14,2003,HW
